state,total
Alabama,1
Alaska,3
Arizona,34
Arkansas,8
California,20
Colorado,27
Connecticut,0
Delaware,0
District of Columbia,1
Florida,6
Georgia,6
Hawaii,2
Idaho,3
Illinois,10
Indiana,9
Iowa,8
Kansas,90
Kentucky,14
Louisiana,2
Maine,0
Maryland,3
Massachusetts,0
Michigan,27
Minnesota,5
Mississippi,0
Missouri,7
Montana,31
Nebraska,1
Nevada,0
New Hampshire,0
New Jersey,10
New Mexico,100
New York,20
North Carolina,1
North Dakota,36
Ohio,38
Oklahoma,17
Oregon,1
Pennsylvania,13
Puerto Rico,0
Rhode Island,1
South Carolina,3
South Dakota,12
Tennessee,6
Texas,802
U.S.,1452
Utah,25
Vermont,1
Virginia,4
Washington,10
West Virginia,0
Wisconsin,25
Wyoming,9
